BillNo,Month,Year,Customer,Discount 5%,Discount 12%,Discount 18%,Discount 28%
ZA8180,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8169,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,1,0
ZA8177,4,2017,"KADAVIL MEDICALS, MANNAR",0,0,0,1
ZA8172,4,2017,"S.N.MEDICALS, KADAPRA",0,0,0,1
ZA8173,4,2017,"BHARATH MEDICALS, KIZHAKENMUTTOOR",0,0,0,1
ZA8181,4,2017,"KIZHAKINATH MEDICALS, PAIPPAD",0,0,0,1
ZA8183,4,2017,"JAI MEDICALS, THIRUVALLA",0,0,0,1
ZA8182,4,2017,"DEEPTHI MEDICALS, MANNAR",0,0,0,1
ZA8176,4,2017,"MANNAR MEDICALS, MANNAR",0,0,0,1
ZA8168,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8171,4,2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",0,0,0,1
ZA8179,4,2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",0,0,0,1
ZA8184,4,2017,"ANJALI MEDICALS, THIRUVALLA",0,0,0,1
ZA8190,4,2017,"KANNAMPALLIL MEDICALS, THENGANA",0,0,0,1
ZA8200,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8195,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,0,1
ZA8201,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8198,4,2017,"AISWARYA MEDICALS, KUTOOR",0,0,0,1
ZA8189,4,2017,"THOMSON MEDICALS, THENGANA",0,0,0,1
ZA8199,4,2017,"J M J MEDICALS, LAIKADU",0,0,0,1
ZA8186,4,2017,"DR.K.M.THOMAS ORENT CLINIC, THIRUVALLA",0,0,0,1
ZA8187,4,2017,"DR.K.M.THOMAS{ ORENT CLINIC}, CHENGANNOOR",0,0,0,1
ZA8224,4,2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",0,0,0,1
ZA8218,4,2017,"NEETHI MEDICALS(SCB 195), MEMANA BUILDING.PULLAD",0,0,1,0
ZA8237,4,2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",0,0,0,1
ZA8238,4,2017,"THOMSON MEDICALS, TIRUVALLA",0,0,0,1
ZA8243,4,2017,"NEETHI MEDICALS, NEDUMKUNNAM",0,0,0,1
ZA8208,4,2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",0,0,0,1
ZA8216,4,2017,"DEEPTHI MEDICALS, KAYAMKULAM",0,0,1,0
ZA8232,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8211,4,2017,"SAM MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8239,4,2017,"PHILIPS MEDICALS, NELLAD",0,0,0,1
ZA8206,4,2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8235,4,2017,"M.G.M. MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8212,4,2017,"MUTTUMON MEDICALS, KUMBANAD",0,0,0,1
ZA8229,4,2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",0,0,0,1
ZA8242,4,2017,"MEDICAL TRUST HOSPITAL, KULANADA",0,0,0,1
ZA8240,4,2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",0,0,0,1
ZA8202,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8219,4,2017,"NEETHI MEDICALS(SCB 195), MEMANA BUILDING.PULLAD",0,0,0,1
ZA8236,4,2017,"ZZZNEETHI MEDICAL STORE, ",0,0,0,1
ZA8233,4,2017,"KUMBANAD MEDICALS, KUMBANAD",0,0,0,1
ZA8225,4,2017,"SOUTHERN MEDICALS, KOZHENCHERY",0,0,0,1
ZA8203,4,2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",0,0,0,1
ZA8228,4,2017,"ST.GEORGE MEDICALS, KOZHENCHERY",0,0,0,1
ZA8207,4,2017,"HAFZA MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8244,4,2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8241,4,2017,"SAFEL MEDICALS, RANNY",0,0,0,1
ZA8220,4,2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",0,0,0,1
ZA8234,4,2017,"TRAVANCORE MEDICALS, PULLAD",0,0,0,1
ZA8223,4,2017,"ST.MARY'S HOSPITAL, ERAVIPEROOR",0,0,0,1
ZA8227,4,2017,"FRIENDS MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8205,4,2017,"TRAVANCORE MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8231,4,2017,"SIMON GEORGE & SONS, PATHANAMTHITTA",0,0,0,1
ZA8209,4,2017,"KURUNGATTU MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8226,4,2017,"JOSE & SONS MEDICALS, THIRUVALLA",0,0,0,1
ZA8210,4,2017,"MANNAR MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8222,4,2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",0,0,0,1
ZA8217,4,2017,"KOODATHUMANNIL MEDICALS, KOZHENCHERRY",0,0,0,1
ZA8204,4,2017,"SONIA MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8230,4,2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",0,0,0,1
ZA8213,4,2017,"MAMMARAPALLIL MEDICALS, PULLAD ",0,0,0,1
ZA8215,4,2017,"JACOBS MEDICALS, KUMBANAD",0,0,0,1
ZA8214,4,2017,"PREETHI MEDICALS, ELENTHOOR",0,0,0,1
ZA8221,4,2017,"JINI MEDICALS, MARAMON",0,0,0,1
ZA8263,4,2017,"NEETHY MEDICAL STORE, KARUKACHAL",0,0,0,1
ZA8260,4,2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",0,0,1,0
ZA8250,4,2017,"NEETHI MEDICALS, MALLAPPALLY",0,0,0,1
ZA8245,4,2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",0,0,0,1
ZA8246,4,2017,"KADAVIL MEDICALS, MANNAR",0,0,1,0
ZA8261,4,2017,"P.S.SURGICAL, CHENGANOOR",0,0,1,0
ZA8258,4,2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",0,0,0,1
ZA8266,4,2017,"AMIL MEDICALS, THIRUVALLA",0,0,0,1
ZA8253,4,2017,"S.D MEDICALS, CHENGANNUR",0,0,0,1
ZA8256,4,2017,"JOSE & SONS MEDICALS, THIRUVALLA",0,0,0,1
ZA8249,4,2017,"NEETHI MEDICALS, MALLAPPALLY",0,0,0,1
ZA8257,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,0,1
ZA8264,4,2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",0,0,0,1
ZA8251,4,2017,"NEETHI MEDICALS, MALLAPPALLY",0,0,0,1
ZA8247,4,2017,"NEETHI MEDICALS, PATHANAMTHITTA",0,0,0,1
ZA8255,4,2017,"NEETHI MEDICALS, CENTRAL JN:CHANGANASSERY",0,0,0,1
ZA8259,4,2017,"BELIEVERS CHURCH CITY CLINIC, THIRUVALLA",0,0,0,1
ZA8265,4,2017,"JAI MEDICALS, THIRUVALLA",0,0,0,1
ZA8254,4,2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",0,0,0,1
ZA8262,4,2017,"JAYA MEDICALS, POOVATHOOR",0,0,0,1
ZA8252,4,2017,"CENTRAL MEDICALS, THADIYOOR",0,0,0,1
ZA8248,4,2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",0,0,0,1
ZA8268,4,2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",0,0,1,0
ZA8272,4,2017,"KADAVIL MEDICALS, MANNAR",0,0,0,1
ZA8270,4,2017,"MENAMTHOTTAM HOSPITAL, RANNY",0,0,0,1
